Output Folder,Use File,X0,Y0,X1,Y1,X2,Y2
output5,use2,509.19786096,720.77005348,416.79144385,739.2513369,558.48128342,1026.73796791
output5,use3,478.39572193,837.81818182,332.59893048,922.01069519,511.2513369,1034.95187166
output5,use4,498.93048128,843.97860963,388.04278075,922.01069519,509.19786096,1026.73796791
output5,use5,461.96791444,813.17647059,293.5828877,885.04812834,552.32085561,1026.73796791
output5,use6,634.45989305,653.00534759,767.93582888,517.47593583,572.85561497,1026.73796791
output6,use0,776.14973262,570.86631016,952.7486631,429.17647059,585.17647059,1034.95187166
output6,use1,646.78074866,603.72192513,843.9144385,498.99465241,572.85561497,1026.73796791
output6,use2,498.93048128,706.39572193,422.95187166,712.55614973,570.80213904,1034.95187166
output6,use3,486.0,845.0,391.0,910.0,527.0,1035.0
output6,use4,490.71657754,872.72727273,418.84491979,961.02673797,486.60962567,1039.05882353
output6,use5,435.27272727,837.81818182,264.8342246,948.70588235,535.89304813,1051.37967914
output6,use6,548.21390374,700.23529412,632.40641711,560.59893048,542.05347594,1020.57754011
output7,use0,757.6684492,570.86631016,909.62566845,410.69518717,546.16042781,1034.95187166
output7,use1,638.56684492,628.36363636,798.73796791,474.35294118,570.80213904,1022.63101604
output7,use2,490.71657754,749.51871658,385.98930481,755.67914439,546.16042781,1022.63101604
output7,use3,468.12834225,848.0855615,336.70588235,948.70588235,503.03743316,1047.27272727
output7,use4,486.60962567,835.76470588,398.31016043,942.54545455,492.77005348,1041.11229947
output7,use5,480.44919786,819.3368984,312.06417112,891.20855615,546.16042781,1032.89839572
output7,use6,646.78074866,675.59358289,757.6684492,527.74331551,576.96256684,1039.05882353
output8,use0,792.57754011,626.31016043,958.90909091,478.45989305,597.4973262,1010.31016043
output8,use1,601.60427807,644.79144385,767.93582888,505.15508021,572.85561497,1028.79144385
output8,use2,478.39572193,724.87700535,355.18716578,714.60962567,540.0,1026.73796791
output8,use3,453.0,838.0,331.0,908.0,527.0,1035.0
output8,use4,455.80748663,841.92513369,351.0802139,946.65240642,503.03743316,1032.89839572
output8,use5,443.48663102,800.85561497,289.47593583,891.20855615,540.0,1022.63101604
output8,use6,657.04812834,657.11229947,798.73796791,484.62032086,572.85561497,1034.95187166
